Start time UTC,consumption,hour,dayofweek,month,dayofyear,is_weekend,quarter,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,rolling_mean_24,rolling_std_24,rolling_mean_168
2021-11-20 05:00:00,9514,5,5,11,324,1,4,9356.0,9086.0,8911.0,8844.0,8955.0,9156.0,9497.0,9929.0,10151.0,10096.0,10569.0,10897.0,10934.0,10894.0,10987.0,10744.0,10603.0,10697.0,10852.0,10946.0,10936.0,10924.0,10949.0,10692.0,10184.458333333334,799.8585189658064,10174.10119047619
2021-11-20 06:00:00,9731,6,5,11,324,1,4,9514.0,9356.0,9086.0,8911.0,8844.0,8955.0,9156.0,9497.0,9929.0,10151.0,10096.0,10569.0,10897.0,10934.0,10894.0,10987.0,10744.0,10603.0,10697.0,10852.0,10946.0,10936.0,10924.0,10949.0,10133.708333333334,787.789448761254,10173.547619047618
2021-11-20 07:00:00,9842,7,5,11,324,1,4,9731.0,9514.0,9356.0,9086.0,8911.0,8844.0,8955.0,9156.0,9497.0,9929.0,10151.0,10096.0,10569.0,10897.0,10934.0,10894.0,10987.0,10744.0,10603.0,10697.0,10852.0,10946.0,10936.0,10924.0,10088.625,771.385924531336,10172.642857142857
2021-11-20 08:00:00,10034,8,5,11,324,1,4,9842.0,9731.0,9514.0,9356.0,9086.0,8911.0,8844.0,8955.0,9156.0,9497.0,9929.0,10151.0,10096.0,10569.0,10897.0,10934.0,10894.0,10987.0,10744.0,10603.0,10697.0,10852.0,10946.0,10936.0,10051.041666666666,749.9818246588941,10171.547619047618
2021-11-20 09:00:00,10122,9,5,11,324,1,4,10034.0,9842.0,9731.0,9514.0,9356.0,9086.0,8911.0,8844.0,8955.0,9156.0,9497.0,9929.0,10151.0,10096.0,10569.0,10897.0,10934.0,10894.0,10987.0,10744.0,10603.0,10697.0,10852.0,10946.0,10016.708333333334,725.6980734716198,10170.577380952382
2021-11-20 10:00:00,10165,10,5,11,324,1,4,10122.0,10034.0,9842.0,9731.0,9514.0,9356.0,9086.0,8911.0,8844.0,8955.0,9156.0,9497.0,9929.0,10151.0,10096.0,10569.0,10897.0,10934.0,10894.0,10987.0,10744.0,10603.0,10697.0,10852.0,9988.083333333334,704.5590614095678,10170.142857142857
2021-11-20 11:00:00,10134,11,5,11,324,1,4,10165.0,10122.0,10034.0,9842.0,9731.0,9514.0,9356.0,9086.0,8911.0,8844.0,8955.0,9156.0,9497.0,9929.0,10151.0,10096.0,10569.0,10897.0,10934.0,10894.0,10987.0,10744.0,10603.0,10697.0,9964.625,689.1330919917409,10169.94642857143
2021-11-20 12:00:00,10106,12,5,11,324,1,4,10134.0,10165.0,10122.0,10034.0,9842.0,9731.0,9514.0,9356.0,9086.0,8911.0,8844.0,8955.0,9156.0,9497.0,9929.0,10151.0,10096.0,10569.0,10897.0,10934.0,10894.0,10987.0,10744.0,10603.0,9943.916666666666,676.4669673907582,10169.315476190477
2021-11-20 13:00:00,10400,13,5,11,324,1,4,10106.0,10134.0,10165.0,10122.0,10034.0,9842.0,9731.0,9514.0,9356.0,9086.0,8911.0,8844.0,8955.0,9156.0,9497.0,9929.0,10151.0,10096.0,10569.0,10897.0,10934.0,10894.0,10987.0,10744.0,9929.583333333334,662.2728267876334,10169.422619047618
2021-11-20 14:00:00,10736,14,5,11,324,1,4,10400.0,10106.0,10134.0,10165.0,10122.0,10034.0,9842.0,9731.0,9514.0,9356.0,9086.0,8911.0,8844.0,8955.0,9156.0,9497.0,9929.0,10151.0,10096.0,10569.0,10897.0,10934.0,10894.0,10987.0,9919.125,646.6460164974393,10169.19642857143
